[2023-11-27T08:28:46.152+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.153+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.154+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.155+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.157+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.158+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.160+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.161+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.162+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.163+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.165+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.166+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.168+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.170+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.172+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.174+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.176+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.178+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.180+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.181+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.184+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.185+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.187+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.188+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.190+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.191+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.192+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.193+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.195+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.196+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.197+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.198+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.199+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.200+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.202+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.203+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.204+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.206+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.207+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.208+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.210+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.211+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.212+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.213+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.214+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.216+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.217+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.218+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.220+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.221+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.223+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.224+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.225+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.226+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.228+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.230+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.231+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.232+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.233+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.235+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.236+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.238+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.239+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.241+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.242+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.243+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.244+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.246+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.247+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.249+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.250+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.252+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.253+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.254+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.256+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.257+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.259+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.260+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.261+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.262+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.264+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.265+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.266+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.268+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.269+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.270+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.272+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.273+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.274+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.275+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.276+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.278+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.279+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.280+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.282+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.285+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.003s]
[2023-11-27T08:28:46.288+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.291+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.293+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.295+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.297+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.298+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.300+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.301+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.303+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.304+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.305+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.306+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.308+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.309+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.310+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.312+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.313+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.315+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.317+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.318+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.319+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.321+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.322+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.323+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.325+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.326+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.328+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.330+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.331+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.332+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.333+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.335+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.336+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.337+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.338+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.340+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.342+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.344+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.346+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.347+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.349+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.351+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.352+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.354+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.355+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.357+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.359+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.361+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.362+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.364+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.365+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.367+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.368+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.369+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.370+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.372+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.002s]
[2023-11-27T08:28:46.373+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.375+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.376+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.377+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.379+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.380+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.381+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.382+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.384+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.385+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.386+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.387+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.389+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.390+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.391+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.392+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.393+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.395+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
[2023-11-27T08:28:46.396+0000] {base.py:271} INFO - POST http://elasticsearch:9200/m3/_doc [status:201 request:0.001s]
