business_id,business_name,business_address,business_postal_code,inspection_date,inspection_score,inspection_type,violation_description,risk_category,current_supervisor_districts
66361,Cafe Bunn Mi,417 CLEMENT St,94118,2018-02-07,81.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,4.0
71065,"Chutney USA, Inc.",511 Jones St,94102,2017-12-11,89.0,Routine - Unscheduled,High risk vermin infestation,High Risk,10.0
66406,Charley's Grilled Subs,865 Market St,94103,2019-08-22,78.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,10.0
69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,94122,2019-01-23,57.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk,7.0
71310,Golden King Vietnamese Restaurant,757 Clay St,94108,2017-11-15,74.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,3.0
69799,Lers Ros Thai Noodle,730 Larkin St,94109,2017-01-18,86.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,10.0
65487,"Aslam's Rasoi, Inc.",1037 VALENCIA St,94110,2018-07-31,87.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,2.0
70723,Dirty Habit,12 04th St,94103,2018-04-23,91.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,10.0
66637,Godzila Sushi,1800 DIVISADERO St,94115,2018-08-08,78.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,6.0
65350,Cordova Market,301 ROLPH St,94112,2018-03-05,84.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,1.0
69759,Fish N Gari,1718 Polk St,94109,2017-09-12,71.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,3.0
68070,Per Diem,564 Market St #140,94104,2016-11-02,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk,3.0
66999,Super Duper Burgers,2201 Chestnut St,94123,2019-08-09,81.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,6.0
70494,The Little Chihuahua Mexican Restaurant,581 VALENCIA St,94110,2018-01-26,94.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk,2.0
70452,Kennedy Market & Deli,4600 03rd St,94124,2018-01-03,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,9.0
69172,Victoria Pastry Co.,700 Filbert St,94133,2017-01-03,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,3.0
68895,It' Sugar,333 Jefferson St Space B-101,94133,2017-09-08,92.0,Routine - Unscheduled,Improper food storage,Low Risk,3.0
65770,Haight Street Happy Donuts,1794 HAIGHT St,94117,2019-06-11,85.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,11.0
68079,Philz Coffee,4298 24th St,94114,2017-08-22,92.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,5.0
68813,Small Foods,522 02nd St,94107,2019-07-30,71.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,10.0
68716,The Sweet House,3512 BALBOA St,94121,2018-02-26,80.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk,4.0
70717,Toast Eatery SF,1601 Polk St,94109,2018-02-20,85.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,3.0
66694,Streets,634 Polk St,94102,2017-01-12,92.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,10.0
66515,La Fusion,475 Pine St,94104,2019-05-08,86.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,3.0
68173,Wise Sons Deli,3150 24th St,94110,2019-08-22,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,2.0
65677,Eleven O One,1101 Polk St,94109,2017-04-19,87.0,Routine - Unscheduled,Other low risk violation,Low Risk,3.0
69786,Drumm Liquors,15 Drumm St,94111,2019-08-27,87.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,3.0
65348,Wok And Go,2700 24th St,94110,2018-06-11,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,2.0
68832,Bayshore Market Deli & Liquor,300 BAYSHORE Blvd,94124,2018-05-30,83.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,2.0
66418,Turtle Tower Restaurant,5716 GEARY BLVD,94121,2019-05-30,81.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,4.0
64933,Magic Flute Restaurant,3673 SACRAMENTO St,94118,2018-05-16,85.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,6.0
